id_cliente,nombre,email,id_ciudad,fecha_registro,segmento,edad,genero
1,Cliente_0001,cliente0001@email.com,12,2023-12-20,Residencial,18,F
2,Cliente_0002,cliente0002@email.com,9,2023-07-16,PYME,39,F
3,Cliente_0003,cliente0003@email.com,10,2020-04-30,Residencial,43,F
4,Cliente_0004,cliente0004@email.com,10,2021-04-13,PYME,35,F
5,Cliente_0005,cliente0005@email.com,12,2020-05-18,PYME,67,F
6,Cliente_0006,cliente0006@email.com,1,2020-03-05,Residencial,31,M
7,Cliente_0007,cliente0007@email.com,13,2024-10-26,Residencial,64,M
8,Cliente_0008,cliente0008@email.com,6,2021-11-07,Educativo,46,F
9,Cliente_0009,cliente0009@email.com,7,2020-05-25,Residencial,29,M
10,Cliente_0010,cliente0010@email.com,14,2022-11-18,PYME,53,M
11,Cliente_0011,cliente0011@email.com,13,2021-05-02,Residencial,52,M
12,Cliente_0012,cliente0012@email.com,8,2021-07-24,Residencial,69,F
13,Cliente_0013,cliente0013@email.com,10,2023-10-02,Residencial,29,F
14,Cliente_0014,cliente0014@email.com,9,2022-09-21,Residencial,24,F
15,Cliente_0015,cliente0015@email.com,2,2021-03-14,Residencial,46,F
16,Cliente_0016,cliente0016@email.com,11,2023-01-09,PYME,28,F
17,Cliente_0017,cliente0017@email.com,10,2020-09-27,Residencial,50,M
18,Cliente_0018,cliente0018@email.com,2,2024-01-21,Residencial,23,F
19,Cliente_0019,cliente0019@email.com,5,2023-03-15,Residencial,64,M
20,Cliente_0020,cliente0020@email.com,13,2023-03-26,Residencial,32,F
21,Cliente_0021,cliente0021@email.com,5,2022-08-26,Residencial,49,F
22,Cliente_0022,cliente0022@email.com,6,2021-05-12,PYME,68,M
23,Cliente_0023,cliente0023@email.com,3,2024-05-25,PYME,28,M
24,Cliente_0024,cliente0024@email.com,8,2022-08-26,Residencial,40,M
25,Cliente_0025,cliente0025@email.com,13,2024-07-11,Corporativo,43,M
26,Cliente_0026,cliente0026@email.com,1,2022-04-13,PYME,51,M
27,Cliente_0027,cliente0027@email.com,6,2021-01-24,Residencial,63,F
28,Cliente_0028,cliente0028@email.com,4,2020-07-12,Educativo,51,F
29,Cliente_0029,cliente0029@email.com,1,2020-07-17,Educativo,46,F
30,Cliente_0030,cliente0030@email.com,15,2023-09-11,Residencial,21,F
31,Cliente_0031,cliente0031@email.com,7,2022-06-01,Residencial,34,F
32,Cliente_0032,cliente0032@email.com,9,2021-12-26,Educativo,52,F
33,Cliente_0033,cliente0033@email.com,13,2022-05-17,PYME,30,M
34,Cliente_0034,cliente0034@email.com,4,2022-04-21,Residencial,58,F
35,Cliente_0035,cliente0035@email.com,4,2022-08-14,PYME,56,M
